,Study_accession,Sample_accession,Run_accession,Isolate_name,Isolate_name_paper,Species,BAPS_group,Sequence_Type,Country/Province,Origin,Location,Habitat,Source_code,Ampicillin,Vancomycin,Teicoplanin,Doxycycline,Erythromycin,Nitrofurantoin,Gentamicin,Linezolid,Levofloxacin,Quinolone,Streptomycin,Tigecycline,Read_status,R1,R2,Clade
147,PRJNA604849,SAMN14000158,SRR14010989,HC_VRE0081,VRE0081,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,I,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010989/SRR14010989_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010989/SRR14010989_2.fastq.gz,Clade A
148,PRJNA604849,SAMN14000156,SRR14010935,HC_VRE0083,VRE0083,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,R,S,R,S,R,S,R,I,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010935/SRR14010935_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010935/SRR14010935_2.fastq.gz,Clade A
149,PRJNA604849,SAMN14000150,SRR14010943,HC_VRE0142,VRE 0142,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,R,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010943/SRR14010943_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010943/SRR14010943_2.fastq.gz,Clade A
150,PRJNA604849,SAMN14000149,SRR14011000,HC_VRE0145,VRE 0145,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,R,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14011000/SRR14011000_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14011000/SRR14011000_2.fastq.gz,Clade A
151,PRJNA604849,SAMN14000148,SRR14010938,HC_VRE0146,VRE 0146,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,I,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010938/SRR14010938_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010938/SRR14010938_2.fastq.gz,Clade A
152,PRJNA604849,SAMN14000147,SRR14010937,HC_VRE0147,VRE 0147,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,I,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010937/SRR14010937_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010937/SRR14010937_2.fastq.gz,Clade A
153,PRJNA604849,SAMN14000146,SRR14010951,HC_VRE0148,VRE 0148,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,I,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010951/SRR14010951_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010951/SRR14010951_2.fastq.gz,Clade A
154,PRJNA604849,SAMN14000145,SRR14011029,HC_VRE0149,VRE 0149,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,I,S,R,I,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14011029/SRR14011029_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14011029/SRR14011029_2.fastq.gz,Clade A
155,PRJNA604849,SAMN14000144,SRR14010960,HC_VRE0150,VRE 0150,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,R,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010960/SRR14010960_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010960/SRR14010960_2.fastq.gz,Clade A
156,PRJNA604849,SAMN14000143,SRR14011007,HC_VRE0151,VRE 0151,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,I,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14011007/SRR14011007_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14011007/SRR14011007_2.fastq.gz,Clade A
157,PRJNA604849,SAMN14000142,SRR14010973,HC_VRE0152,VRE 0152,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,I,S,R,I,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010973/SRR14010973_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010973/SRR14010973_2.fastq.gz,Clade A
158,PRJNA604849,SAMN14000141,SRR14010941,HC_VRE0154,VRE 0154,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,I,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010941/SRR14010941_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010941/SRR14010941_2.fastq.gz,Clade A
159,PRJNA604849,SAMN14000140,SRR14010970,HC_VRE0156,VRE 0156,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,R,S,R,S,S,S,R,I,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010970/SRR14010970_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010970/SRR14010970_2.fastq.gz,Clade A
160,PRJNA604849,SAMN14000139,SRR14010966,HC_VRE0157,VRE 0157,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,I,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010966/SRR14010966_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010966/SRR14010966_2.fastq.gz,Clade A
161,PRJNA604849,SAMN14000138,SRR14010957,HC_VRE0158,VRE 0158,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,I,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010957/SRR14010957_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010957/SRR14010957_2.fastq.gz,Clade A
162,PRJNA604849,SAMN14000137,SRR14010991,HC_VRE0159,VRE 0159,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,I,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010991/SRR14010991_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010991/SRR14010991_2.fastq.gz,Clade A
163,PRJNA604849,SAMN14000136,SRR14010987,HC_VRE0052,VRE0052,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,I,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010987/SRR14010987_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010987/SRR14010987_2.fastq.gz,Clade A
164,PRJNA604849,SAMN14000135,SRR14010996,HC_VRE0049,VRE0049,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,R,S,R,S,R,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010996/SRR14010996_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010996/SRR14010996_2.fastq.gz,Clade A
165,PRJNA604849,SAMN14000134,SRR14011031,HC_VRE0017,VRE0017,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,I,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14011031/SRR14011031_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14011031/SRR14011031_2.fastq.gz,Clade A
166,PRJNA604849,SAMN14000133,SRR14011009,HC_VRE0016,VRE0016,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,R,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14011009/SRR14011009_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14011009/SRR14011009_2.fastq.gz,Clade A
167,PRJNA604849,SAMN14000132,SRR14010982,HC_VRE0015,VRE0015,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,S,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010982/SRR14010982_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010982/SRR14010982_2.fastq.gz,Clade A
168,PRJNA604849,SAMN14000130,SRR14010934,HC_VRE0038,VRE0038,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,I,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010934/SRR14010934_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010934/SRR14010934_2.fastq.gz,Clade A
169,PRJNA604849,SAMN14000129,SRR14010967,HC_VRE0037,VRE0037,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,R,I,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010967/SRR14010967_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010967/SRR14010967_2.fastq.gz,Clade A
170,PRJNA604849,SAMN14000127,SRR14010992,HC_VRE0035,VRE0035,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,R,R,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010992/SRR14010992_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010992/SRR14010992_2.fastq.gz,Clade A
171,PRJNA604849,SAMN14000126,SRR14011043,HC_VRE0034,VRE0034,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,R,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14011043/SRR14011043_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14011043/SRR14011043_2.fastq.gz,Clade A
172,PRJNA604849,SAMN14000125,SRR14010944,HC_VRE0033,VRE0033,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,R,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010944/SRR14010944_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010944/SRR14010944_2.fastq.gz,Clade A
173,PRJNA604849,SAMN14000124,SRR14010965,HC_VRE0032,VRE0032,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,R,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010965/SRR14010965_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010965/SRR14010965_2.fastq.gz,Clade A
174,PRJNA604849,SAMN14000123,SRR14011034,HC_VRE0031,VRE0031,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,R,R,R,S,S,S,R,S,I,S,Validated download,genomes/zaheer_2020_alberta/SRR14011034/SRR14011034_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14011034/SRR14011034_2.fastq.gz,Clade A
175,PRJNA604849,SAMN14000121,SRR14011012,HC_VRE0029,VRE0029,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,R,S,R,S,S,S,R,R,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14011012/SRR14011012_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14011012/SRR14011012_2.fastq.gz,Clade A
176,PRJNA604849,SAMN14000120,SRR14010997,HC_VRE0028,VRE0028,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,R,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010997/SRR14010997_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010997/SRR14010997_2.fastq.gz,Clade A
177,PRJNA604849,SAMN14000119,SRR14011013,HC_VRE0027,VRE0027,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,I,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14011013/SRR14011013_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14011013/SRR14011013_2.fastq.gz,Clade A
178,PRJNA604849,SAMN14000118,SRR14011041,HC_VRE0026,VRE0026,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,I,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14011041/SRR14011041_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14011041/SRR14011041_2.fastq.gz,Clade A
179,PRJNA604849,SAMN14000117,SRR14011016,HC_VRE0025,VRE0025,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,S,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14011016/SRR14011016_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14011016/SRR14011016_2.fastq.gz,Clade A
180,PRJNA604849,SAMN14000116,SRR14010940,HC_VRE0024,VRE0024,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,I,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010940/SRR14010940_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010940/SRR14010940_2.fastq.gz,Clade A
181,PRJNA604849,SAMN14000115,SRR14010945,HC_VRE0023,VRE0023,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,R,I,R,S,R,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010945/SRR14010945_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010945/SRR14010945_2.fastq.gz,Clade A
182,PRJNA604849,SAMN14000113,SRR14011038,HC_VRE0021,VRE0021,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,R,R,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14011038/SRR14011038_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14011038/SRR14011038_2.fastq.gz,Clade A
183,PRJNA604849,SAMN14000112,SRR14010981,HC_VRE0020,VRE0020,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,S,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010981/SRR14010981_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010981/SRR14010981_2.fastq.gz,Clade A
184,PRJNA604849,SAMN14000111,SRR14011002,HC_VRE0019,VRE0019,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,R,I,R,S,S,S,R,S,I,S,Validated download,genomes/zaheer_2020_alberta/SRR14011002/SRR14011002_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14011002/SRR14011002_2.fastq.gz,Clade A
185,PRJNA604849,SAMN14000110,SRR14010990,HC_VRE0018,VRE0018,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,S,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010990/SRR14010990_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010990/SRR14010990_2.fastq.gz,Clade A
186,PRJNA604849,SAMN14000108,SRR14010985,HC_VRE0040,VRE0040,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,S,S,R,I,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010985/SRR14010985_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010985/SRR14010985_2.fastq.gz,Clade A
187,PRJNA604849,SAMN14000107,SRR14010946,HC_VRE0043,VRE0043,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,R,I,R,S,S,S,R,S,R,S,Validated download,genomes/zaheer_2020_alberta/SRR14010946/SRR14010946_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010946/SRR14010946_2.fastq.gz,Clade A
188,PRJNA604849,SAMN14000106,SRR14010942,HC_VRE0044,VRE0044,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,R,S,R,S,R,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010942/SRR14010942_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010942/SRR14010942_2.fastq.gz,Clade A
189,PRJNA604849,SAMN14000105,SRR14010984,HC_VRE0045,VRE0045,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,S,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010984/SRR14010984_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010984/SRR14010984_2.fastq.gz,Clade A
190,PRJNA604849,SAMN14000104,SRR14010968,HC_VRE0047,VRE0047,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,S,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010968/SRR14010968_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010968/SRR14010968_2.fastq.gz,Clade A
191,PRJNA604849,SAMN14000102,SRR14010955,HC_VRE0050,VRE0050,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,S,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010955/SRR14010955_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010955/SRR14010955_2.fastq.gz,Clade A
192,PRJNA604849,SAMN14000101,SRR14010962,HC_VRE0051,VRE0051,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,VRE,R,R,I,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14010962/SRR14010962_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14010962/SRR14010962_2.fastq.gz,Clade A
193,PRJNA604849,SAMN14000099,SRR14026527,HC_NS0441,NS0441,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,NSS,S,S,S,S,I,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026527/SRR14026527_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026527/SRR14026527_2.fastq.gz,CladeB
194,PRJNA604849,SAMN14000098,SRR14026510,HC_NS0216,NS0216,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,NSS,R,S,S,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026510/SRR14026510_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026510/SRR14026510_2.fastq.gz,Clade A
195,PRJNA604849,SAMN14000097,SRR14026523,HC_NS0176,NS0176,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,NSS,R,S,S,S,R,S,S,S,R,S,I,S,Validated download,genomes/zaheer_2020_alberta/SRR14026523/SRR14026523_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026523/SRR14026523_2.fastq.gz,Clade A
196,PRJNA604849,SAMN14000096,SRR14026511,HC_NS0590,NS0590,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,NSS,S,S,S,S,R,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026511/SRR14026511_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026511/SRR14026511_2.fastq.gz,CladeB
197,PRJNA604849,SAMN14000095,SRR14026551,HC_NS0554,NS0554,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,NSS,R,S,S,I,R,S,S,S,I,S,R,S,Validated download,genomes/zaheer_2020_alberta/SRR14026551/SRR14026551_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026551/SRR14026551_2.fastq.gz,Clade A
198,PRJNA604849,SAMN14000092,SRR14026553,HC_NS0721,NS0721,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,NSS,R,S,S,R,I,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026553/SRR14026553_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026553/SRR14026553_2.fastq.gz,Clade A
199,PRJNA604849,SAMN14000091,SRR14026534,HC_NS1050,NS1050,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,NSS,R,S,S,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026534/SRR14026534_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026534/SRR14026534_2.fastq.gz,Clade A
200,PRJNA604849,SAMN14000090,SRR14026539,HC_NS1042,,Enterococcus faecium,,,Canada/Alberta,,,Clinical,,,,,,,,,,,,,,Validated download,genomes/zaheer_2020_alberta/SRR14026539/SRR14026539_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026539/SRR14026539_2.fastq.gz,Clade A
201,PRJNA604849,SAMN14000089,SRR14026529,HC_NS1001,NS1001,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,NSS,R,S,S,S,R,S,S,S,R,S,I,S,Validated download,genomes/zaheer_2020_alberta/SRR14026529/SRR14026529_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026529/SRR14026529_2.fastq.gz,Clade A
202,PRJNA604849,SAMN14000088,SRR14026516,HC_NS0972,NS0972,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,NSS,R,S,S,R,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026516/SRR14026516_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026516/SRR14026516_2.fastq.gz,Clade A
203,PRJNA604849,SAMN14000087,SRR14026554,HC_NS0940,NS0940,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,NSS,R,S,S,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026554/SRR14026554_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026554/SRR14026554_2.fastq.gz,Clade A
204,PRJNA604849,SAMN14000086,SRR14026517,HC_NS0794,NS0794,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,NSS,R,S,S,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026517/SRR14026517_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026517/SRR14026517_2.fastq.gz,Clade A
205,PRJNA604849,SAMN14000085,SRR14026555,HC_NS0790,NS0790,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,NSS,R,S,S,S,R,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026555/SRR14026555_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026555/SRR14026555_2.fastq.gz,Clade A
206,PRJNA604849,SAMN14000084,SRR14026535,HC_NS1689,NS1689,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,NSS,R,S,S,I,R,S,R,S,R,S,R,S,Validated download,genomes/zaheer_2020_alberta/SRR14026535/SRR14026535_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026535/SRR14026535_2.fastq.gz,Clade A
207,PRJNA604849,SAMN14000083,SRR14026519,HC_NS1659,NS1659,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,NSS,R,S,S,S,I,S,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026519/SRR14026519_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026519/SRR14026519_2.fastq.gz,Clade A
208,PRJNA604849,SAMN14000082,SRR14026530,HC_NS1531,NS1531,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,NSS,R,S,S,R,R,S,R,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026530/SRR14026530_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026530/SRR14026530_2.fastq.gz,Clade A
209,PRJNA604849,SAMN14000081,SRR14026515,HC_NS1359,NS1359,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,NSS,R,S,S,I,I,I,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026515/SRR14026515_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026515/SRR14026515_2.fastq.gz,Clade A
210,PRJNA604849,SAMN14000080,SRR14026552,HC_NS1332,NS1332,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,NSS,R,S,S,S,I,I,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026552/SRR14026552_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026552/SRR14026552_2.fastq.gz,CladeB
211,PRJNA604849,SAMN14000078,SRR14026550,HC_SS0003,SS 0003,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,SS,R,S,S,S,R,I,S,S,R,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026550/SRR14026550_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026550/SRR14026550_2.fastq.gz,Clade A
212,PRJNA604849,SAMN14000077,SRR14026542,HC_SS0046,SS 0046,Enterococcus faecium,,,Canada/Alberta,Human clinical; CLS,"53.9333° N, 116.5765° W",Clinical,SS,R,S,S,R,R,S,S,S,S,I,R,S,Validated download,genomes/zaheer_2020_alberta/SRR14026542/SRR14026542_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026542/SRR14026542_2.fastq.gz,Clade A
